Length (m),Duration of 10 swings (s),Duration of a swing (s),Average Period of a Swing (s),SD of T (s),Theoretical Value of Oscillation Period (s),Error Calculation (%)
0.2,8.95,0.895,0.9096,0.0135,0.8973,0.0137
,9.09,0.909,,,,
,9.35,0.935,,,,
,9.06,0.906,,,,
,9.03,0.903,,,,
,10.25,1.025,,,,
0.25,9.67,0.967,0.9816,0.0222,1.0032,0.0215
,9.73,0.973,,,,
,9.78,0.978,,,,
,9.65,0.965,,,,
,,,,,,
0.3,11.53,1.153,1.1534,0.0138,1.0989,0.0496
,11.55,1.155,,,,
,11.28,1.128,,,,
,11.63,1.163,,,,
,11.68,1.168,,,,
0.35,11.83,1.183,1.1884,0.0113,1.2331,0.0363
,11.71,1.171,,,,
,11.98,1.198,,,,
,11.87,1.187,,,,
,12.03,1.203,,,,
0.4,12.71,1.271,1.2932,0.0144,1.3183,0.0191
,12.93,1.293,,,,
,12.85,1.285,,,,
,13.11,1.311,,,,
,13.06,1.306,,,,
